bar_open_ns,known_at_ns,previous-18:00 / HLC3,previous-18:00 / close,previous-18:00 / OHLC4,previous-18:00 / native-trades,midnight-00:00 / HLC3,midnight-00:00 / close,midnight-00:00 / OHLC4,midnight-00:00 / native-trades,london-02:00 / HLC3,london-02:00 / close,london-02:00 / OHLC4,london-02:00 / native-trades,cash-09:30 / HLC3,cash-09:30 / close,cash-09:30 / OHLC4,cash-09:30 / native-trades
1771919160000000000,1771919220000000000,24832.477925520634,24832.896640793995,24832.392456101286,24832.2613436824,24849.508308636738,24849.570835097376,24849.597269263337,24849.41516723116,24851.401166417167,24851.571856287424,24851.362509356288,24851.3034244012,,,,
1771919220000000000,1771919280000000000,24832.48124772244,24832.89818981517,24832.39636405817,24832.26569928559,24849.45386183146,24849.510462787264,24849.544552498417,24849.364510858104,24851.184040590408,24851.332472324724,24851.15322878229,24851.09963099631,,,,
1771919280000000000,1771919340000000000,24832.482255497136,24832.898511519215,24832.397544705225,24832.266650156213,24849.393859833355,24849.448986557447,24849.484601449276,24849.30379647133,24850.953295702842,24851.09541150765,24850.924253459576,24850.86635105608,,,,
1771919340000000000,1771919400000000000,24832.485578509255,24832.902266324898,24832.400383536788,24832.270169784024,24849.34739081902,24849.405582879866,24849.435511720385,24849.25769150272,24850.77449040767,24850.92607913669,24850.737904676258,24850.688758992805,,,,
1771919400000000000,1771919460000000000,24832.496562898745,24832.915760387354,24832.409975726925,24832.27987552919,24849.315243055546,24849.385390625,24849.396848958335,24849.219713541665,24850.642970963174,24850.833746458924,24850.58618094901,24850.53735835694,,,,
1771919460000000000,1771919520000000000,24832.511983715143,24832.930198709026,24832.42662479433,24832.29474750032,24849.277317595075,24849.345542555395,24849.362937461174,24849.178815489748,24850.48915683553,24850.671061762663,24850.448603400415,24850.373785565575,,,,
1771919520000000000,1771919580000000000,24832.516447396163,24832.934914611007,24832.431184376976,24832.29922833649,24849.260901012593,24849.330879313908,24849.346559206446,24849.16222359992,24850.42605674248,24850.613025499657,24850.38650068918,24850.31021709166,,,,
1771919580000000000,1771919640000000000,24832.523986802516,24832.941685839254,24832.43853342351,24832.307650494276,24849.243320282974,24849.311173500926,24849.327709664125,24849.14789820729,24850.356683731516,24850.535494880547,24850.31412116041,24850.251791808874,,,,
1771919640000000000,1771919700000000000,24832.531542852812,24832.947876935512,24832.446489239435,24832.315820051022,24849.21224252377,24849.27584171628,24849.29762882365,24849.118866762474,24850.241093504163,24850.404585300068,24850.203346257586,24850.143037761292,,,,
1771919700000000000,1771919760000000000,24832.53524928883,24832.951118517398,24832.450187471597,24832.319736908546,24849.19822727737,24849.260554360077,24849.283283379445,24849.10549236602,24850.189378701532,24850.34813945692,24850.15125293329,24850.093446195104,,,,
1771919760000000000,1771919820000000000,24832.53965360648,24832.954285137625,24832.455114539447,24832.324866917275,24849.16329588014,24849.221731358528,24849.24992977528,24849.073110316647,24850.06572107941,24850.210849369607,24850.033987226278,24849.97810218978,,,,
